feature,coef,abs_coef
und_nb::monthly_txn_count_mean,-0.03663358165125883,0.03663358165125883
und2_nb::in_night_txn_ratio,-0.036624238278378296,0.036624238278378296
in_nb::fast_in_out_count_1h,-0.036470349928803686,0.036470349928803686
in_nb::prior_in_before_out_mean_delay_min_6h,0.036347579063933065,0.036347579063933065
und2_nb::fast_in_out_count_1h,-0.036345532487598746,0.036345532487598746
und2_nb::fast_in_out_count_6h,-0.035608366125539984,0.035608366125539984
delta::counterparty_amount_top_ratio,-0.03533670920940543,0.03533670920940543
delta::total_txn_count,-0.03515094082140187,0.03515094082140187
und_nb::in_active_days,0.034963073374805864,0.034963073374805864
und2_nb::prior_in_before_out_count_24h,-0.03480693897539519,0.03480693897539519
delta::counterparty_amount_max,-0.03449027868816547,0.03449027868816547
self::fast_in_out_mean_delay_min_24h,-0.03445339325350003,0.03445339325350003
delta::total_amount_sum,-0.034238844225247395,0.034238844225247395
und2_nb::max_next_out_count_after_in_24h,-0.034236331788358894,0.034236331788358894
self::in_active_days,-0.03418478734575332,0.03418478734575332
und_nb::fast_in_out_in_amount_ratio_1h,-0.03393179623979254,0.03393179623979254
und2_nb::account_age_months,-0.033694401724827246,0.033694401724827246
delta::out_amount_sum,-0.03363296791941712,0.03363296791941712
delta::monthly_amount_sum_mean,-0.033632967919417105,0.033632967919417105
delta::in_night_txn_count,-0.033489634294007364,0.033489634294007364
self::prior_in_before_out_mean_delay_min_24h,-0.03342865555768919,0.03342865555768919
und2_nb::in_out_count_ratio,-0.0332465747747441,0.0332465747747441
und2_nb::prior_in_before_out_count_6h,-0.03323697504832109,0.03323697504832109
delta::in_out_amount_ratio,-0.03321407768640367,0.03321407768640367
out_nb::out_counterparty_nunique,-0.03314370013880926,0.03314370013880926
delta::monthly_amount_sum_std,-0.03270845191401899,0.03270845191401899
und_nb::counterparty_amount_max,-0.03247226137862101,0.03247226137862101
in_nb::daily_txn_count_cv,0.03241008775672033,0.03241008775672033
delta::daily_amount_sum_max,-0.032200985064698366,0.032200985064698366
und_nb::total_amount_sum,-0.032040140798600174,0.032040140798600174
und_nb::prior_in_before_out_mean_delay_min_6h,0.03184982783340607,0.03184982783340607
delta::in_amount_sum,-0.03166236284810376,0.03166236284810376
delta::daily_amount_sum_std,-0.03158608303437252,0.03158608303437252
in_nb::multi_in_one_out_mean_amount_ratio_24h,-0.03156732545120548,0.03156732545120548
out_nb::burst_day_amount_ratio,-0.03154412260292074,0.03154412260292074
und_nb::out_amount_sum,-0.03141294208277839,0.03141294208277839
und_nb::monthly_amount_sum_mean,-0.03141294208277839,0.03141294208277839
in_nb::out_amount_max,-0.03139677925637571,0.03139677925637571
out_nb::region_code,0.03136991731296487,0.03136991731296487
in_nb::first_month_txn_count,-0.03126515092345456,0.03126515092345456
self::prior_in_before_out_mean_delay_min_6h,-0.030965333195628306,0.030965333195628306
und_nb::daily_amount_sum_max,-0.030884110902265383,0.030884110902265383
und_nb::total_txn_count,-0.03079951117873112,0.03079951117873112
und_nb::daily_amount_sum_mean,-0.030679187064188918,0.030679187064188918
out_nb::prior_in_before_out_mean_delay_min_24h,-0.03066936352182094,0.03066936352182094
in_nb::one_in_multi_out_in_amount_ratio_24h,-0.030531349425494587,0.030531349425494587
out_nb::in_small_amount_ratio,-0.030507198019503457,0.030507198019503457
und2_nb::burst_day_txn_ratio,-0.030500680100315335,0.030500680100315335
und_nb::in_out_count_ratio,0.030435460968528564,0.030435460968528564
delta::in_round_1000_count,-0.030362787325053136,0.030362787325053136
und_nb::monthly_amount_sum_std,-0.030215919071354153,0.030215919071354153
und2_nb::out_round_1000_ratio,-0.03004485598304212,0.03004485598304212
und2_nb::monthly_txn_count_std,0.029927055379401848,0.029927055379401848
in_nb::out_amount_sum,-0.029924382505644793,0.029924382505644793
in_nb::monthly_amount_sum_mean,-0.029924382505644793,0.029924382505644793
out_nb::fast_in_out_out_amount_ratio_6h,-0.02959031001187537,0.02959031001187537
und_nb::in_amount_sum,-0.029572748655421723,0.029572748655421723
in_nb::fast_in_out_count_24h,-0.029489831967197306,0.029489831967197306
self::fast_in_out_mean_delay_min_6h,-0.029291671276558653,0.029291671276558653
und2_nb::out_self_loop_count,-0.028981626346176945,0.028981626346176945
und2_nb::in_self_loop_count,-0.028981626346176945,0.028981626346176945
und2_nb::total_self_loop_count,-0.028981626346176945,0.028981626346176945
in_nb::fast_in_out_in_amount_ratio_1h,-0.02885572696930273,0.02885572696930273
out_nb::out_amount_max,-0.028450255938742813,0.028450255938742813
delta::first_month_txn_count,-0.02842177940432299,0.02842177940432299
und_nb::daily_amount_sum_std,-0.028348091473549216,0.028348091473549216
und2_nb::fast_in_out_balance_ratio_6h,-0.028156544736664964,0.028156544736664964
in_nb::out_large_amount_count,-0.028127007328675336,0.028127007328675336
in_nb::total_amount_sum,-0.02806337610871058,0.02806337610871058
